ts,duty_cycle,acc,speed_l,speed_r,speed_avg
1649720813452,16,-0.11494212454212453,13.251354897933666,5.42611135763671,9.338733127785188
1649720813485,16,0.22988424908424906,6.360082506746708,5.42611135763671,5.893096932191709
1649720813518,16,-0.32566935286935284,6.360082506746708,5.42611135763671,5.893096932191709
1649720813552,16,0.09578510378510377,6.360082506746708,5.42611135763671,5.893096932191709
1649720813585,16,-0.20114871794871794,6.360082506746708,5.42611135763671,5.893096932191709
1649720813618,16,-0.047892551892551885,6.360082506746708,5.42611135763671,5.893096932191709
1649720813652,16,-0.19157020757020754,6.360082506746708,5.42611135763671,5.893096932191709
1649720813685,16,0.2203057387057387,6.360082506746708,5.42611135763671,5.893096932191709
1649720813718,16,-0.6034461538461539,6.360082506746708,5.42611135763671,5.893096932191709
1649720813752,16,0.354404884004884,6.360082506746708,5.42611135763671,5.893096932191709
1649720813785,16,-0.2586197802197802,6.360082506746708,5.42611135763671,5.893096932191709
1649720813818,16,0.0862065934065934,6.360082506746708,5.42611135763671,5.893096932191709
1649720813852,17,-0.2586197802197802,6.360082506746708,5.42611135763671,5.893096932191709
1649720813885,17,0.057471062271062266,6.360082506746708,5.42611135763671,5.893096932191709
1649720813918,17,-0.03831404151404151,6.360082506746708,5.42611135763671,5.893096932191709
1649720813952,17,-0.057471062271062266,6.360082506746708,5.42611135763671,5.893096932191709
1649720813985,17,-0.019157020757020755,6.360082506746708,5.42611135763671,5.893096932191709
1649720814018,17,0.0,6.360082506746708,5.42611135763671,5.893096932191709
1649720814052,19,-0.2586197802197802,6.360082506746708,5.42611135763671,5.893096932191709
1649720814085,22,0.1340991452991453,2.2662380468559364,5.42611135763671,3.8461747022463233
1649720814118,23,-0.019157020757020755,9.084204904779805,5.42611135763671,7.255158131208257
1649720814152,23,-0.0862065934065934,20.324680493364415,5.42611135763671,12.875395925500563
1649720814185,23,-0.06704957264957265,28.27031640693069,5.42611135763671,16.8482138822837
1649720814218,23,-0.21072722832722832,25.969541795019765,5.42611135763671,15.697826576328238
1649720814252,23,-0.27777680097680096,25.969541795019765,1.0752910421691348,13.52241641859445
1649720814285,23,-0.18199169719169717,19.71802792400457,49.72599094146064,34.722009432732605
1649720814318,23,0.27777680097680096,13.074258191577131,51.78994037602715,32.43209928380214
1649720814352,23,-0.3927189255189255,33.88511368998624,56.50800977063072,45.19656173030848
1649720814385,23,0.11494212454212453,54.621672815509214,51.24083123654317,52.93125202602619
1649720814418,23,0.1724131868131868,61.48545900056918,53.04503646047969,57.265247730524436
1649720814452,23,-0.14367765567765567,60.05077221651689,57.53858007560737,58.79467614606213
1649720814485,23,-0.1245206349206349,75.85568482117571,66.69201543602865,71.27385012860219
1649720814518,23,0.21072722832722832,88.79043502488567,70.73621248101327,79.76332375294947
1649720814552,23,0.028735531135531133,93.81031784914379,73.17875748122643,83.4945376651851
1649720814585,23,-0.431032967032967,82.97912058418365,81.58737355138831,82.28324706778598
1649720814618,23,0.5459750915750916,93.94608256554159,96.2665731158702,95.10632784070589
1649720814652,23,0.50766105006105,95.99903859014455,101.81408201626351,98.90656030320403
1649720814685,23,0.354404884004884,101.79550783735547,115.4124068469961,108.60395734217579
1649720814718,23,0.46934700854700856,118.39359470731938,110.62259136619545,114.50809303675742
1649720814752,23,0.047892551892551885,109.2132460959335,107.2021894162092,108.20771775607135
1649720814785,23,-0.8812229548229548,114.81195694675553,118.24357748421396,116.52776721548474
1649720814885,23,-0.8141733821733821,125.84367156772454,118.31357776825969,122.07862466799212
1649720814918,23,-0.20114871794871794,123.68226934075663,126.24872801386832,124.96549867731247
1649720814952,23,-0.1245206349206349,139.9491995180993,130.10411997225293,135.02665974517612
1649720814985,23,1.3026774114774113,137.15791906759358,126.41115418977785,131.78453662868571
1649720815018,23,-0.45976849816849813,126.53843668214353,126.89599537458076,126.71721602836215
1649720815052,23,-0.8141733821733821,142.6151977621555,136.42652390667433,139.52086083441492
1649720815085,23,0.33524786324786326,160.7359014712663,151.8071899243488,156.27154569780754
1649720815118,23,0.2203057387057387,134.4146827396994,139.89590691892437,137.15529482931188
1649720815152,23,-0.8045948717948718,138.93264614868525,148.17590931534568,143.55427773201546
1649720815185,23,-0.21072722832722832,161.4534709238069,159.10370110190877,160.27858601285783
1649720815218,23,1.2260493284493283,146.20816996328278,146.3007844038449,146.25447718356384
1649720815252,23,-0.8141733821733821,136.443921873508,147.44472390127427,141.94432288739114
1649720815285,23,-1.063214652014652,174.48827133950826,152.47401237837593,163.4811418589421
1649720815318,23,1.4846691086691084,167.14247650124634,151.83954723970913,159.49101187047773
1649720815352,23,-0.2681982905982906,149.13397981794702,150.56519768067778,149.8495887493124
1649720815385,23,-0.431032967032967,165.96021487134476,159.45847732550396,162.70934609842436
1649720815418,23,1.2835203907203907,171.87824886119927,166.09512918946473,168.986689025332
1649720815452,23,-1.0153221001221,143.57745122906346,155.47057589398864,149.52401356152603
1649720815485,23,-1.5134046398046397,173.2050419828729,171.59050731717792,172.3977746500254
1649720815518,23,1.5612971916971914,169.5388595570887,170.68843275186111,170.1136461544749
1649720815552,23,-0.5363965811965812,150.86836003287237,162.60449943384435,156.73642973335836
1649720815585,23,-1.1589997557997556,173.58890053829634,163.53795434564046,168.5634274419684
1649720815619,23,1.752867399267399,172.75445892390013,163.66610207241314,168.21028049815664
1649720815685,23,-0.9003799755799756,172.00879509995372,160.63671866781516,166.32275688388444
1649720815719,22,0.660917216117216,160.6380249379335,157.52738086516814,159.08270290155082
1649720815752,22,-0.8524874236874236,149.0284449880562,148.38127059264286,148.70485779034954
1649720815852,21,-1.063214652014652,139.6294634954985,137.19843032939747,138.41394691244798
1649720815885,21,-0.6226031746031745,157.29303074940634,147.00884723093588,152.1509389901711
1649720815919,21,0.9195369963369963,147.2073013000193,139.6720755686526,143.43968843433595
1649720815952,20,-1.0153221001221,127.91468510418647,126.7188529120177,127.31676900810209
1649720815985,20,-0.5555536019536019,142.0286107108432,132.9875314980983,137.50807110447073
1649720816019,20,0.3927189255189255,146.38502841317057,133.0891169513863,139.73707268227844
1649720816052,20,0.8524874236874236,130.17905334008464,118.59487658813956,124.3869649641121
1649720816085,20,-1.0919501831501832,115.51223363335296,121.08954185761606,118.30088774548452
1649720816152,20,-0.22988424908424906,130.5417939342069,119.88141386864763,125.21160390142727
1649720816185,20,-0.36398339438339433,119.49014902520057,104.09117789576527,111.79066346048292
1649720816219,20,-0.46934700854700856,112.60443605601512,106.32724724386921,109.46584164994216
1649720816252,20,-0.7471238095238095,121.46046326056492,110.18958500403448,115.8250241322997
1649720816285,20,-0.21072722832722832,119.62337215296489,108.96782066115338,114.29559640705914
1649720816319,20,-0.15325616605616604,102.23013432104543,108.6213326212563,105.42573347115086
1649720816352,20,0.019157020757020755,102.8148374837453,109.29638181021761,106.05560964698145
1649720816385,20,0.45976849816849813,108.97812457233853,103.97561968952913,106.47687213093383
1649720816419,20,-0.1724131868131868,110.07484058918546,94.88333049114686,102.47908554016615
1649720816452,20,-0.5268180708180709,101.29160561255,93.10336840198859,97.1974870072693
1649720816485,20,0.3160908424908425,94.65464246796915,94.52545262105151,94.59004754451033
1649720816519,20,0.06704957264957265,95.52429026984717,91.61754765217074,93.57091896100896
1649720816585,20,0.4501899877899878,109.53447941736957,90.37429433605844,99.95438687671401
1649720816619,20,-0.18199169719169717,100.61117843948479,89.21266901685982,94.9119237281723
1649720816652,20,-0.20114871794871794,93.86639827635081,90.52657952787274,92.19648890211178
1649720816685,20,0.28735531135531134,100.06093035936337,88.83483107466859,94.44788071701598
1649720816752,20,-0.19157020757020754,108.86870893237133,100.05973590219334,104.46422241728234
1649720816819,19,-0.047892551892551885,107.09137498507948,99.12440125694172,103.1078881210106
1649720816852,19,-0.09578510378510377,112.10593934048407,98.89961430786303,105.50277682417355
1649720816885,19,-0.0862065934065934,108.7803745083358,106.48483534472297,107.63260492652938
1649720816919,19,-0.4980825396825396,102.34874736040305,103.37872404455086,102.86373570247696
1649720816952,19,-0.5747106227106227,98.32304721655886,100.91954945337574,99.62129833496729
1649720816985,19,0.1724131868131868,99.35175303405737,97.57869219581232,98.46522261493485
1649720817019,19,-0.1340991452991453,107.39961114308262,93.49746288093559,100.4485370120091
1649720817052,19,-0.23946275946275944,100.72774498052053,93.94760645865256,97.33767571958654
1649720817085,19,0.16283467643467642,92.9565981425766,99.921408167632,96.4390031551043
1649720817119,19,-0.41187594627594626,97.07289337036241,105.31975133003849,101.19632235020045
1649720817152,19,0.8045948717948718,101.84822268688912,104.24957366048457,103.04889817368684
1649720817185,19,0.7567023199023198,105.70699424043586,97.53283546796337,101.6199148541996
1649720817219,19,-0.42145445665445663,96.68562125883632,102.64707220522278,99.66634673202955
1649720817252,19,-0.5747106227106227,94.41515276138108,105.92447209338683,100.16981242738396
1649720817285,19,-0.10536361416361416,107.3136924615754,106.07620881475174,106.69495063816356
1649720817319,19,0.32566935286935284,117.63747225697583,103.84601689398849,110.74174457548216
1649720817352,19,0.8908014652014651,109.37211908288762,98.35955315689725,103.86583611989244
1649720817385,19,-1.0249006105006104,101.03760200298264,106.16024277943289,103.59892239120776
1649720817419,19,-0.2969338217338217,101.07034293218356,106.99985997035466,104.03510145126911
1649720817452,19,0.6130246642246642,105.08373556053701,101.07852156857663,103.08112856455682
1649720817485,19,0.03831404151404151,115.36095851497957,104.95858585249096,110.15977218373527
1649720817519,19,-0.7662808302808302,106.79437811409292,108.23767335837732,107.51602573623512
1649720817585,19,-0.4406114774114774,103.36536641879925,102.60434198964964,102.98485420422445
